,School Name,Department,Country,State/City
132,University of Cincinnati,Physics,USA,OH
133,University of Dayton,Electro-Optics Program,USA,OH
134,Oklahoma State University,Physics,USA,OK
135,University of Oklahoma,Physics & Astronomy,USA,OK
136,University of Tulsa,Phys. & Eng. Phys.,USA,OK
137,Oregon State University,Physics,USA,OR
138,Portland State University,Physics,USA,OR
139,University of Oregon,Physics,USA,OR
140,Bryn Mawr College,Physics,USA,PA
141,Carnegie Mellon University,Physics,USA,PA
142,Drexel University,Physics,USA,PA
143,Lehigh University,Physics,USA,PA
144,Pennsylvania State University,Physics,USA,PA
145,University of Pennsylvania,Physics,USA,PA
146,University of Pittsburgh,Physics & Astronomy,USA,PA
147,Brown University,Physics,USA,RI
148,Clemson University,Physics & Astronomy,USA,SC
149,University of South Carolina,Physics & Astronomy,USA,SC
150,University of South Dakota,Physics,USA,SD
151,"University of Tennessee, Knoxville",Physics & Astronomy,USA,TN
152,Vanderbilt University,Physics & Astronomy,USA,TN
153,Baylor University,Physics,USA,TX
154,Rice University,Physics & Astronomy,USA,TX
155,Rice University,Smalley-Curl Institute,USA,TX
156,Southern Methodist University,Physics,USA,TX
157,Texas Christian University,Physics and Astronomy,USA,TX
158,"Texas State University, San Marcos",Physics,USA,TX
159,Texas Tech University,Physics,USA,TX
160,University of Texas at Austin,Physics,USA,TX
161,"University of Texas, Arlington",Physics,USA,TX
162,"University of Texas, Dallas",Physics Program,USA,TX
163,University of Utah,Physics,USA,UT
164,Utah State University,Physics,USA,UT
165,College of William and Mary,Physics,USA,VA
166,George Mason University,Physical Sciences,USA,VA
167,University of Virginia,Physics,USA,VA
168,Virginia Commonwealth University,Physics,USA,VA
169,Virginia Tech,Physics,USA,VA
170,University of Washington,Astronomy,USA,WA
171,University of Washington,Physics,USA,WA
172,University of Wisconsin,Medical Physics Program,USA,WI
173,"University of Wisconsin, Madison",Astronomy,USA,WI
174,"University of Wisconsin, Madison",Physics,USA,WI
175,West Virginia University,Physics,USA,WV
176,University of Wyoming,Physics & Astronomy,USA,WY
